Generation,X,Y,Fitness
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,4,5,6.91487e-310
3,5,4,6.91487e-310
3,5,4,6.91487e-310
3,4,5,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,5,4,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,4,5,6.91487e-310
3,4,4,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,4,5,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,4,5,6.91487e-310
3,5,6,6.91487e-310
3,4,5,6.91487e-310
3,5,5,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,5,4,6.91487e-310
3,5,4,6.91487e-310
3,4,4,6.91487e-310
3,4,5,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,5,4,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,5,4,6.91487e-310
3,4,5,6.91487e-310
3,5,5,6.91487e-310
3,4,4,6.91487e-310
3,5,5,6.91487e-310
3,5,4,6.91487e-310
3,4,3,6.91487e-310
3,5,5,6.91487e-310
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,5,5,1.82843
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,6,6,1.67542
4,4,4,1.67542
4,4,4,1.67542
4,4,4,6.91487e-310
4,4,4,6.91487e-310
4,5,5,6.91487e-310
4,3,5,6.91487e-310
4,5,5,6.91487e-310
4,4,5,6.91487e-310
4,5,3,6.91487e-310
4,5,5,6.91487e-310
4,5,5,6.91487e-310
4,5,5,6.91487e-310
4,4,4,6.91487e-310
4,5,5,6.91487e-310
4,5,5,6.91487e-310
4,5,5,6.91487e-310
4,4,4,6.91487e-310
4,5,5,6.91487e-310
4,5,4,6.91487e-310
4,4,4,6.91487e-310
4,4,4,6.91487e-310
4,4,4,6.91487e-310
4,4,4,6.91487e-310
4,5,6,6.91487e-310
4,4,4,6.91487e-310
4,4,4,6.91487e-310
